Name	x	y	z
Kampala	0.3133	32.5714	1202
SaoTome	0.336	6.7311	141
Libreville	0.3858	9.4496	0
Mogadishu	2.0411	45.3426	28
Yaounde	3.8612	11.5217	726
Accra	5.5401	-0.2074	98
Lome	6.1228	1.2255	63
Monrovia	6.3106	-10.8047	0
PortoNovo	6.4779	2.6323	38
Yamoussoukro	6.8067	-5.2728	217
Freetown	8.4697	-13.2659	76
AddisAbaba	9.0084	38.7575	2362
Abuja	9.058	7.4891	777
Conakry	9.537	-13.6785	0
DjiboutiCity	11.5806	43.1425	0
Bissau	11.8598	-15.5875	0
NDjamena	12.1121	15.0355	298
Ouagadougou	12.3569	-1.5352	305
Bamako	12.653	-7.9864	349
Banjul	13.4399	-16.6775	0
Niamey	13.5164	2.1157	207
Dakar	14.6953	-17.4439	37
Asmara	15.3315	38.9183	2363
Khartoum	15.6331	32.533	377
Nouakchott	18.0669	-15.99	6
Laayoune	27.1536	-13.2033	72
Cairo	30.0571	31.2272	22
Tripoli	32.883	13.1897	6
Rabat	33.9905	-6.8704	53
Algiers	36.7755	3.0597	0
Tunis	36.8117	10.1761	0
Bangui	40.3621	18.5873	369
Nairobi	-1.2762	36.7965	1728
Kigali	-1.9441	30.0619	1567
Bujumbura	-3.3818	29.3622	794
Brazzaville	-4.2767	15.2662	155
Kinshasa	-4.3369	15.3271	240
Dodoma	-6.167	35.7497	1148
Luanda	-8.8159	13.2306	6
Lilongwe	-13.9899	33.7703	1024
Lusaka	-15.4145	28.2809	1270
Harare	-17.8227	31.0496	1480
Antananarivo	-18.9201	47.5237	1288
Port Louis	-20.1654	57.4896	134
Windhoek	-22.5749	17.0805	1655
Gaborone	-24.657	25.9089	1014
Pretoria	-25.746111	28.188056	1339
Maputo	-25.9686	32.5804	63
Johannesburg	-26.2044	28.0456	1753
Bloemfontein	-29.116667	26.216667	1395
Maseru	-29.2976	27.4854	1673
