Name	GSM742944	GSM2326089	GSM1807974	GSM1807990	GSM2055788	GSM2142335	GSM1807979	GSM1695909	GSM1554468	GSM1695910	GSM1807975	GSM1807977	GSM1807985	GSM1417183	GSM1807992	GSM1505572	GSM1807991	GSM1807996	GSM1416804	GSM2055782	GSM1807988	GSM1807981	GSM1807993	GSM1505598	GSM1807984	GSM1807973	GSM1807987	GSM1417184	GSM1807983	GSM1807982
A1BG	0	92	11663	2089	18808	183	5123	79640	1595	23761	6019	8813	11086	531	11829	275	13799	15267	9334	12324	8233	3575	11862	489	5528	8248	8881	1232	7097	2580
A1CF	0	17	5738	490	14035	5	7127	10168	241	10738	1156	9498	5668	184	12734	120	5589	5103	1228	9197	7539	1650	7393	186	10233	7441	11526	671	8596	2434
A2M	6362	304	39269	8299	20260	97	27210	63297	5817	85187	3268	32408	28867	2983	57646	12620	18109	63160	7480	13057	18251	18618	29754	18679	65463	19420	19634	3403	69080	12683
A2ML1	0	22	11	2	39	8	4	9	5	32	4	10	3	61	23	19	10	16	2	27	17	2	20	20	11	8	26	75	3	6
A2MP1	0	3	167	7	44	15	16	61	2	484	0	89	40	1	89	1913	100	16	6	27	135	4	90	3108	10	9	172	7	81	25
A3GALT2	0	0	1	0	0	0	1	0	0	3	0	1	0	0	4	0	0	0	0	0	3	0	1	0	4	0	0	0	0	0
A4GALT	0	422	78	0	69	0	19	64	1	141	0	56	0	49	39	4	67	39	10	36	22	16	2	9	52	21	27	13	68	0
A4GNT	0	20	4	1	3	0	1	5	0	3	0	3	8	0	2	0	2	3	0	2	3	1	7	0	0	0	0	1	3	2
AAAS	0	2319	593	13	237	1131	320	880	606	1534	0	621	358	307	561	11	647	515	107	139	375	202	594	10	155	447	619	424	450	189
AACS	1	4365	374	18	243	244	92	174	74	924	27	250	202	996	311	59	327	920	37	183	199	44	201	104	73	392	140	986	415	708
AACSP1	0	6	26	3	35	0	19	5	1	48	0	67	12	7	37	1	8	48	0	23	36	0	28	0	30	16	101	5	15	15
AADAC	0	2	1656	428	2167	0	1675	8890	550	3785	402	2955	1802	32	5341	24	3906	2578	1697	1529	3132	650	2613	56	1763	2203	1699	45	2608	231
AADACL3	0	0	1	0	6	1	0	0	1	1	0	0	1	0	6	0	2	7	0	6	3	2	4	0	2	2	8	0	0	1
AADACP1	0	40	16	0	96	0	51	253	7	14	0	19	19	0	20	0	27	8	31	71	21	0	32	0	15	20	27	0	51	3
AADAT	0	297	108	0	661	433	398	2114	44	272	1	1224	375	21	490	4	661	340	184	374	418	61	983	7	494	209	1251	66	259	82
AAED1	0	1125	257	27	79	361	150	210	11	569	3	203	186	299	294	11	173	421	44	79	156	44	367	11	241	237	176	291	202	69
AAGAB	0	3206	846	72	180	493	269	607	241	1800	76	503	263	399	605	7	528	816	70	127	462	536	793	22	465	566	463	286	563	297
AAK1	3	2409	1004	11	841	934	334	402	54	2632	110	513	489	1554	975	69	627	672	72	494	704	275	610	99	172	605	908	1421	299	371
AAMDC	0	624	90	2	119	148	2	662	57	467	35	71	81	216	122	2639	6	84	55	82	95	4	10	3851	59	9	44	142	1	1
AAMP	75	5180	807	0	1006	172	336	4162	576	3073	150	883	602	357	1154	38	869	1122	297	633	1116	3	833	58	750	574	1033	396	861	305
AANAT	0	57	2	0	4	0	1	5	0	1	0	5	1	8	5	0	4	2	1	6	2	0	5	0	4	2	7	15	2	0
AAR2	0	991	520	68	301	578	30	1322	135	1237	80	495	303	270	590	14	559	547	88	236	378	92	120	24	484	282	458	259	445	144
AARD	0	17	0	30	17	20	0	5	1	11	1	0	0	98	1	0	7	1	1	10	2	2	1	0	1	1	1	94	0	0
AARS	168	6478	1431	526	1280	1121	826	4451	523	9092	1	3274	2061	465	3585	113	2639	2456	346	854	2262	512	1712	167	3187	2077	2445	847	2781	1188
AARS2	0	1164	183	13	252	295	57	394	158	866	408	157	704	434	259	9	174	214	38	181	216	35	180	13	0	149	273	321	7	62
AARSD1	0	1203	314	51	152	287	190	864	188	1360	37	386	1	242	422	1319	618	309	81	101	348	6	339	1870	337	263	329	81	289	125
AASDH	0	1174	180	17	186	481	151	243	78	797	0	353	117	98	366	11	273	211	37	147	225	40	252	9	215	191	364	104	205	132
AASDHPPT	0	3034	1054	0	501	743	527	952	274	1907	0	1076	481	205	1159	3342	978	447	130	303	859	133	748	5037	927	614	1176	86	694	329
AASS	1	556	128	0	3082	123	1471	1834	16	944	188	3576	535	206	3078	25	1249	520	285	2066	1272	477	863	50	590	301	3780	203	777	406
AATF	12	4430	452	68	306	714	198	816	202	996	138	402	314	440	490	18	470	414	84	182	328	86	320	32	492	316	416	174	468	202
AATK	0	137	48	5	59	12	15	68	11	55	5	35	21	365	40	2	8	34	17	36	31	2	63	0	28	14	46	73	47	9
AATK-AS1	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0
AB019441.29	0	16	0	0	0	16	0	10	0	4	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	2	2	0	0
ABAT	89	2772	3836	501	11581	170	7475	40417	453	11231	1835	18794	8664	1376	16152	166	10707	7947	2283	7698	9670	3030	8931	261	9086	5876	11338	1289	7524	3570
ABC13-47488600E17.1	0	18	0	0	0	12	0	2	0	8	0	0	0	6	0	2	0	0	0	0	0	0	0	2	0	0	0	116	0	0
ABC13-47656900H15.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ABC13-48559800H2.1	0	115	0	0	0	34	0	4	0	0	0	2	0	8	0	0	2	0	0	3	3	0	1004	0	0	236	0	5	0	0
ABC14-864958H18.2	0	17	8	0	2	4	0	10	2	26	0	16	5	49	3	50	57	0	3	4	13	0	2	29	4	0	0	2	0	1
ABC7-42391500H16.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ABC7-42404400C24.1	0	277	18	0	23	77	0	15	0	25	0	2	0	77	24	0	0	2	1	23	11	0	10	0	0	10	2	157	0	16
ABC7-42418200C9.1	0	3	0	0	11	7	0	0	1	0	4	0	0	0	0	0	1	1	0	12	0	0	1	0	0	0	0	7	0	0
ABC7-481722F1.1	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	98	936	6436	453	9059	436	5200	2314	147	16965	868	6437	3489	568	10869	1767	5652	4063	646	5968	4267	1236	4490	2761	4865	6513	7070	728	4907	3001
ABCA10	0	65	42	0	570	9	109	285	7	1040	2	119	208	69	295	2	148	156	51	358	149	698	222	3	121	265	178	107	4	44
ABCA11P	0	182	64	0	53	49	50	85	7	331	0	95	58	32	118	1	39	70	5	27	56	0	42	2	73	68	87	0	43	0
ABCA12	0	6	1	0	1	2	1	0	0	0	0	0	0	67	1	0	0	0	0	0	0	0	0	0	1	0	2	207	0	0
ABCA13	0	17	7	0	77	435	8	11	4	52	5	120	8	211	69	5	58	36	5	51	24	2	7	6	13	8	100	196	11	1
ABCA17P	0	50	3	0	9	2	0	2	1	12	0	1	0	26	7	0	2	4	0	6	1	0	2	2	0	2	6	53	0	4
ABCA2	29	10920	551	1	945	471	54	1509	54	2517	2	648	1113	775	1388	12	56	572	285	647	958	297	936	33	479	469	776	579	995	166
ABCA3	0	3902	136	10	58	17	27	73	3	229	0	67	84	491	133	10	41	67	5	37	76	10	69	8	8	120	77	288	49	0
ABCA4	0	47	51	0	46	0	28	29	8	67	5	26	42	45	23	0	57	49	5	24	58	14	49	0	28	16	41	85	32	10
ABCA5	67	457	2151	0	2042	261	1887	1512	117	14115	712	3096	2248	338	4464	41	4188	2529	317	1270	2137	485	2618	74	3482	3213	3774	206	1851	1090
ABCA6	0	18	757	649	5487	37	1732	5641	112	2712	139	4326	1095	402	4758	58	2731	1076	567	3514	1550	461	2772	75	1422	914	4232	532	2826	348
ABCA7	13	3712	259	0	100	74	87	203	2570	448	37	133	88	325	169	1	506	152	39	77	165	0	260	7	66	85	277	557	187	70
ABCA8	25	52	1179	1	4484	66	936	2879	64	5374	2	1046	867	170	801	24	625	1780	572	2975	1877	716	1218	54	548	594	1739	425	665	131
ABCA9	3	52	302	1	1871	70	592	719	17	1592	611	1389	441	1492	1631	451	1187	340	108	1266	501	147	1175	615	1029	321	2172	693	569	235
ABCB1	33	3614	1201	39	1112	993	522	1087	18	2023	297	941	739	12	1437	54386	852	913	358	698	1115	337	965	80512	1465	787	724	39	1683	82
ABCB10	0	1540	518	34	630	419	359	813	3444	1265	0	635	19	196	601	14	555	441	107	364	953	94	492	14	597	385	674	88	506	192
ABCB10P3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	16	0	126	11	3666	42	606	3716	46	1923	85	2861	913	70	3290	90	1667	375	258	2251	733	711	683	155	1327	303	2134	79	1232	280
ABCB4	0	188	4676	288	1905	10	2070	3550	45	10779	309	2546	1832	53	2677	10415	5140	4725	972	1304	3144	753	2109	16061	3662	4210	4012	272	1984	1486
ABCB5	0	30	4	0	12	15	1	2	59	25	1	6	1	92	7	0	2	5	0	10	3	1	2	2	0	0	6	126	1	3
ABCB6	0	971	344	55	446	118	207	1441	2583	690	114	1014	284	122	1285	25	1129	461	106	299	1201	54	504	33	1036	308	254	114	1048	0
ABCB7	29	1877	369	23	369	941	225	624	302	1116	46	349	0	116	463	9	356	291	67	237	424	468	334	21	300	288	396	31	414	0
ABCB8	44	1569	714	0	309	126	231	952	253	1619	107	628	71	669	733	94	747	592	131	230	654	21	1282	127	667	283	646	912	701	616
ABCB9	0	480	15	4	80	66	8	40	31	95	4	28	10	560	76	25	42	49	5	57	30	12	18	48	554	23	64	325	25	7
ABCC1	0	9746	709	0	211	2988	65	192	51	488	0	115	137	229	221	13	22	185	22	136	133	54	153	25	119	89	130	561	4	110
ABCC10	1	932	325	0	182	241	76	135	78	926	15	171	161	342	320	8	369	198	33	124	346	72	216	8	237	146	281	503	264	110
ABCC11	10	41	54	0	109	11	102	177	6	275	1	299	28	5678	177	134	121	81	22	76	235	0	121	209	0	71	468	1520	235	32
ABCC12	0	0	3	0	3	0	0	1	2	4	0	3	1	155	1	0	2	1	0	0	4	0	2	0	0	0	14	197	0	0
ABCC13	0	6	6	0	26	5	2	7	468	10	2	15	0	32	6	1	6	1	1	16	22	0	4	1	0	0	12	151	0	1
ABCC2	0	785	768	66	6792	8	3639	8331	195	6896	421	7783	5501	95	9026	78	4880	2099	1096	4444	4786	821	4585	127	8949	1714	9624	297	7671	1302
ABCC3	0	5848	7202	489	3375	18	4045	4564	40	24779	995	6436	3566	538	11663	124	8888	6342	1062	2204	5462	1301	7183	186	5978	5595	9315	1167	6664	1768
ABCC4	2	4906	175	17	102	668	23	71	368	192	5	122	83	53	197	6	60	109	11	79	224	22	110	10	62	45	44	49	281	69
ABCC5	0	2157	439	0	272	376	106	330	1069	930	50	334	801	3911	348	8	583	339	48	177	453	2	363	11	297	239	514	1800	326	3
ABCC6	40	459	1965	81	5229	88	638	8217	611	4771	17	2109	1424	328	2987	222	2101	2387	918	3433	2979	208	3811	398	1896	1523	3058	887	1453	514
ABCC6P1	0	148	777	91	730	14	546	891	250	3089	372	1208	648	17	390	4680	1778	582	241	474	924	209	1241	6890	2310	602	1440	180	558	163
ABCC6P2	0	24	0	649	91	0	2	303	30	46	80	78	24	0	7	0	128	0	14	66	539	13	198	2	3	0	186	0	0	1
ABCC8	0	7	0	0	0	0	3	1	0	11	0	26	1	0	12	0	10	3	0	2	0	0	4	0	0	1	14	0	7	0
ABCC9	122	556	1128	20	3354	66	2729	3843	17	4060	1405	4100	2181	2577	4801	2274	3070	2114	551	2126	4009	381	2872	3377	1844	1255	4731	2397	1904	1294
ABCD1	0	1951	93	48	276	61	491	363	37	677	89	254	264	66	410	14	282	531	58	183	316	55	343	14	362	392	334	206	366	56
ABCD2	0	4	10	1	4	0	0	10	1	33	1	3	0	5	2	0	0	0	2	5	2	0	2	0	4	6	6	1	6	2
ABCD3	0	5454	2325	0	1990	311	1793	2696	446	6112	21	2443	1877	487	2754	49	3415	2716	762	1244	2950	374	2427	61	3522	2019	2925	690	2058	1305
ARF6	0	6267	1843	93	833	1006	927	2185	702	3261	40	1338	1261	637	2103	36	1871	1424	389	565	1220	27	974	38	1172	1558	1473	1114	1378	275
