Name	SRR3189679	SRR3189680	SRR3189681	SRR3189682	SRR3189683	SRR3189684	SRR3189685	SRR3189686	SRR3189687	SRR3189688	SRR3189689	SRR3189690	SRR3189691	SRR3189692	SRR3189693
MUSG00000000001	15.66237712	14.02069152	15.55523767	12.53030269	30.26070238	21.88635065	16.9770096	15.91032482	13.96401208	20.33431465	11.64871927	15.17305221	23.69173653	25.12588033	17.40852757
MUSG00000000003	0.02856262247	0.03657934307	0.4199643938	0.02197858668	0.07553235663	0.06415830328	0.05491574473	0.03367995079	0.04635835972	0.05836791748	0.0339897258	0.06048005711	0.125081061	0.07963392007	0.05026406735
MUSG00000000028	5.150481277	7.498046073	5.717151644	5.034920003	11.63507902	12.07708406	8.502685615	7.605634923	5.431772707	7.401168681	9.781359828	9.532715664	8.701791977	7.958704554	8.861361158
MUSG00000000031	0.9237747351	0.6227608188	0.03741034073	0.4186789458	0.07553235663	0.06415830328	1.384295066	0.497882881	0.04635835972	1.242943781	0.5118457238	0.803937252	2.510960143	1.560482778	1.424694414
MUSG00000000037	2.947675699	3.047155768	2.851991831	3.006277684	4.073379265	3.221717911	2.847644571	2.720893056	2.668957668	3.99501885	2.276475451	3.380865246	2.523756334	3.932792697	3.816611864
MUSG00000000049	0.4035691019	0.03657934307	0.03741034073	0.4157299085	0.07553235663	0.06415830328	0.05491574473	0.03367995079	0.04635835972	0.05836791748	0.0339897258	0.06048005711	0.125081061	0.07963392007	0.05026406735
MUSG00000000056	5.60138838	6.278070022	5.927605934	7.147899553	7.480145579	11.93250522	8.598339	7.014218233	5.970887776	4.921066473	7.315983887	4.819448015	5.910252318	6.031086171	7.197199445
MUSG00000000058	3.398089893	2.737900601	3.427833294	3.732662002	3.227350967	3.184576087	3.174092444	2.585427274	2.771171295	3.258585095	3.58354398	2.264391162	3.416998664	4.142265303	3.592306195
MUSG00000000078	9.047701296	9.747571271	9.171093759	9.733709866	7.206914995	18.82520371	20.01182037	13.44844993	15.76244639	5.370334959	17.62795769	5.651179124	8.883215499	6.928067652	20.91420718
MUSG00000000085	6.636539974	5.911166728	6.409587432	6.366368435	5.852517042	5.440739278	5.274587975	5.815858125	5.747012813	7.626663208	4.401668583	8.169552187	7.578602122	5.508399997	5.129524119
MUSG00000000088	9.237976165	8.073520685	8.755246291	6.333605382	18.12603119	5.883343163	8.670121564	9.752253775	12.57790609	17.01349923	7.089455543	22.44880304	35.03897334	20.38321278	7.166812493
MUSG00000000093	0.2827464146	0.5063159205	0.3756168978	0.4761957057	0.509620929	0.06415830328	0.05491574473	0.03367995079	0.4754290738	0.05836791748	0.4811589516	0.06048005711	0.125081061	0.07963392007	0.05026406735
MUSG00000000094	0.5340162609	0.556351516	1.034087994	0.9645237849	0.967724478	0.5214603638	0.8037168017	1.061081632	0.3809466643	0.4061309036	0.5488630984	0.5808195512	0.125081061	1.896723639	2.033434911
MUSG00000000103	0.02856262247	0.03657934307	0.03741034073	0.02197858668	0.07553235663	0.06415830328	0.501772161	0.03367995079	0.3736952836	0.5688836351	0.0339897258	0.6102864615	0.125081061	0.07963392007	0.05026406735
MUSG00000000120	0.515866113	0.8417948695	0.7262123625	0.2677817157	2.201090319	1.88215753	0.6074284708	0.765965122	0.5119845438	0.3723572966	0.8460830429	1.054720781	0.125081061	2.375512935	1.37133756
MUSG00000000125	0.2813018708	0.8831070288	0.4093994805	0.6067157798	0.07553235663	0.4948436668	0.4835248945	0.03367995079	0.5097583066	0.3725404482	0.7542523343	0.6859479759	1.134728479	0.07963392007	0.4259903354
MUSG00000000126	0.02856262247	0.03657934307	0.03741034073	0.2691254975	0.07553235663	0.06415830328	0.6663421828	0.03367995079	0.04635835972	0.3770067767	0.9397192634	0.06048005711	0.7627665408	0.4513913311	0.05026406735
MUSG00000000127	3.713748277	3.473517797	3.686680147	4.651863019	3.084466711	3.212729042	2.964672389	4.026948314	3.347414679	4.856418809	3.545556841	2.938130083	2.839040238	2.83936453	3.064635556
MUSG00000000131	10.65972254	11.4974116	9.929943516	9.470826405	18.51023758	9.290890834	10.62443275	7.812153191	8.12195478	8.698492242	9.333313329	8.531610343	4.892324012	18.27564042	9.44303326
MUSG00000000134	4.729225043	4.542902401	4.401139826	4.486179392	5.657059631	4.777534617	4.576097745	4.092813742	5.477813489	4.059144751	3.820656077	4.127561299	3.213107554	5.243447172	4.398859319
MUSG00000000142	1.124627054	1.494950861	1.213235164	1.022631548	1.841698384	1.482947502	0.758867783	1.23449284	0.04635835972	0.9301759194	0.3815337462	0.8159044002	1.773102144	1.443834408	1.040005318
