Face,Value
0,-0.36137192152921455
1,-0.3804675550904442
2,-0.41349861102428065
3,-0.41085299834910044
4,-0.40853025257690057
5,-0.40337348242522336
6,-0.43001978403749336
7,-0.37302203927219296
8,-0.3927696402829688
9,-0.4204320416674368
10,-0.38212806802696253
11,-0.49113293422320425
12,-0.40708999331317247
13,-0.42705168733479026
14,-0.39991844504979507
15,-0.3958040984911854
16,-0.3986628446045604
17,-0.4157333328813855
18,-0.4550811785301423
19,-0.4012689220224803
20,-0.40588579594475266
21,-0.38814755624621516
22,-0.3934576278919008
23,-0.4542865343116183
24,-0.39873110511449616
25,-0.417389823760264
26,-0.3558508391572184
27,-0.4387914287620022
28,-0.4328842199052474
29,-0.3505389217147848
30,-0.385579972340416
31,-0.4353425332159419
32,-0.43477281189530004
33,-0.45937971208049727
34,-0.410441018408869
35,-0.3652556599579843
36,-0.4069589845285002
37,-0.379006569599037
38,-0.4429145248933441
39,-0.3436608429003005
40,-0.422323039964931
41,-0.4087761091462953
42,-0.356230413505037
43,-0.3579527454667842
44,-0.4380707997096756
45,-0.4357522570042023
46,-0.40641284100953934
47,-0.4171354131002469
48,-0.3466986289591531
49,-0.4429669103650801
50,-0.3960459043891196
51,-0.3927235947547047
52,-0.4105328421420226
53,-0.39455154008813503
54,-0.37068861368270506
55,-0.4463985802006672
56,-0.4819601959236906
57,-0.38487713822262637
58,-0.3992537654019466
59,-0.4215118688795269
60,-0.38004261628276864
61,-0.42699296698683836
62,-0.38271424402846205
63,-0.3939450626128504
64,-0.3726016703005602
65,-0.4224386460699949
66,-0.38890425063115736
67,-0.3902419881068031
68,-0.3579115665496529
69,-0.3369713669389476
70,-0.3370599300492383
71,-0.33650002604661794
72,-0.41347464151913865
73,-0.3422285360689381
74,-0.39069876495205796
75,-0.37552652256126917
76,-0.3696342552936938
77,-0.38681808865881023
78,-0.33918818821181196
79,-0.3379130504405931
80,-0.36677444525716574
81,-0.391192730795268
82,-0.4205959590222335
83,-0.36726547935475096
84,-0.44172298379707015
85,-0.4017726230168741
86,-0.38389386718950536
87,-0.3406370665453438
88,-0.3394501338443045
89,-0.337549405532032
90,-0.4888073668556012
91,-0.39172606712870156
92,-0.4274182970721932
93,-0.4112031084094094
94,-0.38074129309815685
95,-0.3595982808202065
96,-0.3933444069495748
97,-0.4402893031475363
98,-0.3378874859548655
99,-0.34010317582328486
100,-0.3397808442484829
101,-0.4282697048559605
102,-0.41849006327490224
103,-0.41347836729394455
104,-0.370093220731583
105,-0.4448560622350273
106,-0.4238237208933138
107,-0.3451426771133856
108,-0.3417390374415381
109,-0.33963037591332484
110,-0.4775698781746322
111,-0.41119724636237215
112,-0.3957225489060782
113,-0.3588469794151825
114,-0.3672876747303721
115,-0.3669150389366476
116,-0.4545946101299956
117,-0.4536218381398494
118,-0.3473592388143543
119,-0.34127591350466785
120,-0.3433855384242705
121,-0.3734388390953991
122,-0.38710901443820217
123,-0.40163526279272393
124,-0.3456231642173311
125,-0.345055771227383
126,-0.34133703013795347
127,-0.3427850501471393
128,-0.350440656887895
129,-0.43086742716181936
130,-0.4259267573966696
131,-0.3873842196658459
132,-0.4253443606553969
133,-0.34182557889594506
134,-0.4824731502836291
135,-0.5049551919279697
136,-0.42229265732450333
137,-0.4230321496484928
138,-0.4051972466921143
139,-0.34766634339609803
140,-0.4258000718243848
141,-0.5046311316172981
142,-0.4790587050273649
143,-0.5051291599541391
144,-0.40621533932199677
145,-0.42760220272921323
146,-0.43177836959836463
147,-0.37173255229746754
148,-0.3508015660215466
149,-0.34957650869329476
150,-0.4392490245229039
151,-0.3451009946721142
152,-0.4983310147411002
153,-0.5043408337766114
154,-0.48955447286602033
155,-0.42222147169996466
156,-0.3877560833091114
157,-0.37836376166883423
158,-0.40928716049884706
159,-0.3725897124526725
160,-0.3712627768730563
161,-0.37108794989965516
162,-0.4166162493276507
163,-0.43054908913044887
164,-0.4352537489923984
165,-0.35035410770478476
166,-0.4875220990509653
167,-0.3425165581725609
168,-0.364391424579047
169,-0.4465466637210073
170,-0.42858716119154056
171,-0.3727121286750763
172,-0.42222163131172513
173,-0.4416537744752766
174,-0.42827485502041357
175,-0.4000108121762906
176,-0.35672932194101653
177,-0.4076127120479785
178,-0.48084840481209
179,-0.35604937488387645
180,-0.48315113874945165
181,-0.39297707702011686
182,-0.41464257082994044
183,-0.4319855065952735
184,-0.3909693402542554
185,-0.45089079340829813
186,-0.3730340612601812
187,-0.44428937907202903
188,-0.4412492575015929
189,-0.447911518480526
190,-0.4443091881207868
191,-0.4490025266989015
