time,longitude,latitude,value
2013-01-01 15:11:48,-73.978165,40.757977,4
2013-01-06 00:18:35,-74.006683,40.731781,1
2013-01-05 18:49:41,-74.004707,40.73777,1
2013-01-07 23:54:15,-73.974602,40.759945,2
2013-01-07 23:25:03,-73.97625,40.748528,1
2013-01-07 15:27:48,-73.966743,40.764252,1
2013-01-08 11:01:15,-73.995804,40.743977,1
2013-01-07 12:39:18,-73.989937,40.756775,3
2013-01-07 18:15:47,-73.980072,40.743137,1
2013-01-07 15:33:28,-73.977936,40.786983,2
2013-01-08 13:11:52,-73.982452,40.773167,1
2013-01-08 09:50:05,-73.99556,40.749294,1
2013-01-10 12:07:08,-73.971497,40.791321,1
2013-01-07 07:35:47,-73.98851,40.774307,1
2013-01-10 15:42:29,-73.994911,40.723221,1
2013-01-10 14:27:28,-74.010391,40.708702,1
2013-01-07 22:09:59,-73.973732,40.756287,1
2013-01-07 17:18:16,-73.968925,40.767704,1
2013-01-07 06:08:51,-73.96212,40.769737,1
2013-01-07 22:25:46,-73.989708,40.756714,1
2013-01-10 23:41:51,-73.78331,40.648766,1
2013-01-07 18:05:36,-73.956505,40.771278,4
2013-01-08 13:29:25,-73.95578,40.77932,1
2013-01-07 21:13:02,-73.978439,40.764679,1
2013-01-01 18:36:53,-73.992172,40.749954,1
2013-01-07 08:17:06,-73.992111,40.689701,1
2013-01-07 22:39:03,-73.978653,40.787735,1
2013-01-07 06:26:32,-73.965317,40.769375,2
2013-01-01 14:02:01,-73.862709,40.769142,2
2013-01-05 11:54:49,-73.977127,40.74831,1
2013-01-05 08:16:58,-73.976318,40.682724,1
2013-01-05 19:04:43,-73.966682,40.761139,1
2013-01-05 17:34:11,-73.948334,40.776482,1
2013-01-05 18:59:29,-73.993202,40.724407,1
2013-01-05 03:00:46,-73.9655,40.711113,1
2013-01-07 04:45:14,-73.991936,40.749622,1
2013-01-01 18:45:02,-73.982384,40.752102,1
2013-01-05 20:51:53,-73.993828,40.721008,3
2013-01-05 03:20:28,-73.991142,40.750366,4
2013-01-02 06:58:08,-73.987022,40.759373,1
2013-01-06 00:46:25,-73.991173,40.74313,1
2013-01-02 08:12:21,-73.99115,40.750023,1
2013-01-05 19:45:00,-73.989342,40.763168,2
2013-01-05 21:23:06,-73.959496,40.779442,1
2013-01-05 01:12:58,-73.904716,40.726418,1
2013-01-06 10:56:31,-73.95871,40.768471,2
2013-01-07 17:38:07,-73.873154,40.773998,1
2013-01-07 14:38:35,-73.990623,40.756813,1
2013-01-07 10:35:10,-73.965843,40.758705,1
2013-01-07 14:46:55,-73.981796,40.758862,1
2013-01-08 15:17:50,-73.977318,40.764542,1
2013-01-07 18:24:11,-73.986534,40.7342,1
2013-01-10 12:20:38,-73.96666,40.773125,1
2013-01-07 10:15:19,-73.958649,40.768791,1
2013-01-08 13:56:41,-73.975922,40.744606,2
2013-01-10 17:19:42,-73.963608,40.774113,1
2013-01-10 13:16:11,-73.958481,40.761166,1
2013-01-08 00:02:36,-73.985573,40.747375,1
2013-01-07 17:54:25,-73.985184,40.773998,1
2013-01-08 10:38:22,-73.967682,40.751221,1
2013-01-07 20:13:25,-74.007469,40.708904,1
2013-01-08 01:15:53,-73.9925,40.758308,1
2013-01-07 18:12:27,-73.982315,40.774441,1
2013-01-07 18:45:40,-73.977676,40.746544,1
2013-01-08 11:33:23,-73.987732,40.751884,1
2013-01-07 20:46:10,-73.864861,40.770428,1
2013-01-07 18:45:14,-73.979706,40.758427,3
2013-01-10 15:17:20,-73.988495,40.737442,1
2013-01-10 15:04:11,-73.980118,40.754601,1
2013-01-08 13:16:48,-74.004578,40.707554,1
2013-01-08 15:33:16,-73.945915,40.786156,1
2013-01-07 22:35:11,-73.790016,40.644058,1
2013-01-07 18:48:51,-73.998337,40.746025,1
2013-01-07 22:19:19,0.0,0.0,1
2013-01-10 10:31:05,-73.982079,40.763794,2
2013-01-08 02:22:17,-73.99469,40.750191,1
2013-01-07 13:21:28,-73.947601,40.77533,2
2013-01-07 21:58:43,-73.987099,40.755215,3
2013-01-01 17:11:51,-73.98793,40.749542,3
2013-01-08 10:44:06,-73.989296,40.756313,1
2013-01-10 14:55:05,-73.961678,40.756123,1
2013-01-10 10:42:05,-73.946854,40.775887,1
2013-01-07 08:29:26,-73.986847,40.762066,1
2013-01-05 14:00:07,-73.986351,40.738503,1
2013-01-05 21:04:10,-73.9879,40.737755,1
2013-01-08 13:51:53,-73.998299,40.740654,1
2013-01-06 22:18:22,-74.003059,40.723473,1
2013-01-08 12:50:22,-73.952026,40.766479,2
2013-01-08 07:51:16,-73.945396,40.80209,1
2013-01-08 10:54:06,-73.983917,40.746563,1
2013-01-01 19:41:43,-73.984734,40.76931,2
2013-01-08 08:30:16,-73.976288,40.765472,1
