Time,Latitude,Longitude,Intensity
20000730  1800,20.5,-151.0,50
20000731  0000,20.7,-151.8,55
20000731  0600,20.8,-152.5,50
20000731  1200,21.0,-153.1,45
20000731  1800,21.3,-153.8,60
20000801  0000,21.8,-154.5,60
20000801  0600,22.3,-155.2,50
20000801  1200,22.9,-156.1,45
20000801  1800,23.6,-157.2,45
20000802  0000,24.2,-158.4,40
20000802  0600,25.0,-159.6,45
20000802  1200,25.8,-160.9,45
20000802  1800,26.9,-162.3,45
20000803  0000,27.9,-163.7,40
20000803  0600,28.8,-165.2,35
20000803  1200,29.8,-166.5,30
20000803  1800,30.5,-167.6,30
20000804  0000,31.4,-168.6,30
20000804  0600,32.2,-169.3,30
20000804  1200,33.0,-169.9,25
20000804  1800,33.9,-170.3,25
20000805  0000,35.0,-170.5,25
20000805  0600,36.1,-170.7,25
20000726  0600,14.9,-106.9,25
20000726  1200,15.3,-107.7,30
20000726  1800,15.8,-108.4,35
20000727  0000,16.2,-109.0,40
20000727  0600,16.8,-109.8,45
20000727  1200,17.4,-110.8,45
20000727  1800,18.1,-111.8,55
20000728  0000,18.8,-112.9,55
20000728  0600,19.4,-113.8,50
20000728  1200,19.9,-114.7,50
20000728  1800,20.1,-115.8,45
20000729  0000,20.1,-117.0,40
20000729  0600,20.2,-117.9,35
20000729  1200,20.3,-118.9,35
20000729  1800,20.3,-120.0,30
20000730  0000,20.4,-120.8,25
20000803  1200,16.4,-113.6,30
20000803  1800,16.6,-114.9,30
20000804  0000,16.7,-115.8,35
20000804  0600,16.8,-116.6,35
20000804  1200,16.8,-117.5,45
20000804  1800,16.8,-118.5,45
20000805  0000,16.7,-119.5,40
20000805  0600,16.7,-120.4,40
20000805  1200,16.5,-121.4,35
20000805  1800,16.3,-122.4,35
20000806  0000,16.2,-123.2,30
20000806  0600,15.9,-124.0,30
20000806  1200,15.5,-124.8,30
20000806  1800,15.1,-125.4,25
20000807  0000,14.9,-125.9,25
20000807  0600,14.7,-126.5,25
20000807  1200,14.5,-127.1,25
20000807  1800,14.3,-127.7,25
20000808  0000,14.2,-128.3,25
20000805  0000,15.0,-105.2,30
20000805  0600,15.2,-106.1,30
20000805  1200,15.5,-106.9,30
20000805  1800,15.8,-107.8,30
20000806  0000,16.2,-108.8,30
20000806  0600,16.6,-109.9,30
20000806  1200,17.0,-111.0,35
20000806  1800,17.4,-112.0,45
20000807  0000,17.9,-113.0,50
20000807  0600,18.2,-114.1,55
20000807  1200,18.4,-114.9,60
20000807  1800,18.5,-115.8,60
20000808  0000,18.7,-116.7,60
20000808  0600,18.9,-117.5,65
20000808  1200,19.0,-118.3,70
20000808  1800,19.3,-119.1,70
20000809  0000,19.8,-119.7,60
20000809  0600,20.2,-120.2,55
20000809  1200,20.7,-120.6,45
20000809  1800,21.2,-121.1,35
20000810  0000,21.7,-121.6,30
20000810  0600,22.0,-122.2,30
20000810  1200,22.1,-122.7,25
20000810  1800,22.2,-123.2,25
20000811  0000,22.3,-123.6,25
20000810  1800,17.8,-106.6,25
20000811  0000,17.7,-108.1,25
20000811  0600,17.9,-109.2,25
20000811  1200,18.1,-110.4,30
20000811  1800,18.3,-111.7,30
20000812  0000,18.5,-112.9,35
20000812  0600,18.5,-114.1,40
20000812  1200,18.4,-115.1,45
20000812  1800,18.2,-115.8,50
20000813  0000,18.1,-116.5,50
20000813  0600,18.2,-117.2,55
20000813  1200,18.2,-117.7,55
20000813  1800,18.3,-118.1,60
20000814  0000,18.4,-118.4,65
20000814  0600,18.7,-118.9,65
20000814  1200,19.1,-119.3,70
20000814  1800,19.5,-119.9,70
20000815  0000,20.0,-120.5,65
20000815  0600,20.3,-121.2,60
20000815  1200,20.3,-122.1,55
20000815  1800,20.2,-123.0,45
20000816  0000,20.0,-123.9,35
20000816  0600,20.0,-125.0,30
20000816  1200,20.0,-126.6,25
20000816  1800,20.0,-128.0,25
20000813  1800,17.1,-104.0,30
20000814  0000,17.7,-104.7,35
20000814  0600,18.4,-105.6,35
20000814  1200,19.1,-106.4,40
20000814  1800,19.9,-107.0,50
20000815  0000,20.8,-107.6,55
20000815  0600,21.5,-108.5,60
20000815  1200,22.0,-109.5,60
20000815  1800,22.1,-110.6,60
20000816  0000,22.3,-111.5,60
20000816  0600,22.5,-112.5,55
20000816  1200,22.7,-113.1,35
20000816  1800,23.0,-113.6,30
20000817  0000,23.3,-114.5,25
20000816  0000,34.4,-178.5,45
20000816  0600,35.3,-177.9,45
20000816  1200,36.4,-177.4,40
20000816  1800,37.6,-176.9,40
20000817  0000,39.0,-176.4,40
20000817  0600,40.2,-176.0,35
20000828  0600,14.9,-137.4,30
20000828  1200,15.1,-137.8,35
20000828  1800,15.4,-138.2,45
20000829  0000,15.7,-138.5,55
20000829  0600,16.1,-138.9,55
20000829  1200,16.6,-139.2,55
20000829  1800,16.8,-139.7,55
20000830  0000,16.9,-140.1,55
20000830  0600,17.1,-140.4,55
20000830  1200,17.2,-140.5,55
20000830  1800,17.3,-140.4,60
20000831  0000,17.4,-140.3,55
20000831  0600,17.2,-140.6,45
20000831  1200,17.0,-141.2,35
20000831  1800,17.1,-141.7,35
20000901  0000,17.3,-141.9,30
20000901  0600,17.4,-141.9,30
20000901  1200,17.5,-141.9,25
20000831  0000,13.0,-131.4,25
20000831  0600,13.2,-132.2,25
20000831  1200,13.4,-132.6,30
20000831  1800,13.5,-133.0,30
20000901  0000,13.7,-133.2,30
20000901  0600,13.8,-133.2,30
20000901  1200,13.8,-133.3,30
20000901  1800,13.5,-133.3,30
20000902  0000,13.2,-133.3,35
20000902  0600,13.2,-133.5,35
20000902  1200,13.6,-133.4,35
20000902  1800,14.3,-133.2,30
20000903  0000,14.7,-133.2,25
20000905  0000,15.4,-102.2,25
20000905  0600,15.7,-103.6,30
20000905  1200,15.9,-105.1,35
20000905  1800,16.0,-106.3,40
20000906  0000,15.8,-107.1,45
20000906  0600,15.4,-107.9,45
20000906  1200,14.8,-108.3,50
20000906  1800,14.3,-108.5,50
20000907  0000,13.8,-108.3,45
20000907  0600,13.5,-108.0,40
20000907  1200,13.9,-107.8,40
20000907  1800,14.5,-107.7,45
20000908  0000,15.1,-108.0,45
20000908  0600,15.5,-108.3,50
20000908  1200,15.9,-108.6,55
20000908  1800,16.4,-108.9,60
20000909  0000,17.1,-109.4,65
20000909  0600,17.9,-110.0,70
20000909  1200,18.6,-110.6,75
20000909  1800,19.5,-111.4,80
20000910  0000,20.2,-112.5,85
20000910  0600,20.5,-113.5,85
20000910  1200,20.9,-114.4,85
20000910  1800,21.3,-115.1,85
20000911  0000,21.7,-115.8,80
20000911  0600,22.2,-116.9,75
20000911  1200,22.6,-117.9,65
20000911  1800,23.0,-119.0,60
20000912  0000,23.5,-120.0,55
20000912  0600,24.2,-120.9,50
20000912  1200,25.0,-121.7,45
20000912  1800,25.8,-122.4,45
20000913  0000,26.7,-123.0,40
20000913  0600,27.8,-123.1,35
20000913  1200,29.1,-122.9,30
20000913  1800,30.7,-122.8,25
20000914  0000,32.2,-122.2,25
20000915  1800,19.2,-107.4,30
20000916  0000,19.8,-107.4,30
20000916  0600,20.2,-107.6,30
20000916  1200,20.6,-107.8,35
20000916  1800,21.0,-108.2,35
20000917  0000,21.5,-108.5,30
20000917  0600,22.4,-108.9,25
20000917  1200,23.7,-109.2,25
20000920  0000,16.8,-103.4,25
20000920  0600,17.2,-103.2,30
20000920  1200,17.8,-102.9,40
20000920  1800,18.3,-103.1,45
20000920  2000,18.4,-103.2,45
20000921  0000,18.6,-103.5,35
20000921  0600,19.5,-104.2,30
20000921  1200,20.0,-105.0,30
20000921  1800,20.2,-105.3,25
20000922  0000,20.7,-105.7,25
20000922  0600,21.4,-106.1,25
20000922  1200,22.6,-106.3,25
20000922  1500,23.1,-106.3,25
20000922  1800,23.7,-106.3,25
20001002  1200,15.3,-103.1,25
20001002  1800,15.3,-103.5,30
20001003  0000,15.3,-103.8,35
20001003  0600,15.3,-104.0,35
20001003  1200,15.3,-104.2,40
20001003  1800,15.4,-104.5,55
20001004  0000,15.5,-104.8,55
20001004  0600,15.7,-105.2,55
20001004  1200,15.8,-105.5,55
20001004  1800,15.9,-105.9,55
20001005  0000,16.0,-106.5,55
20001005  0600,16.0,-107.0,55
20001005  1200,15.9,-107.6,50
20001005  1800,15.8,-108.0,50
20001006  0000,15.7,-108.4,45
20001006  0600,15.6,-108.7,35
20001006  1200,15.5,-109.1,45
20001006  1800,15.6,-109.5,45
20001007  0000,15.9,-110.0,45
20001007  0600,16.1,-110.6,45
20001007  1200,16.5,-111.3,45
20001007  1800,16.9,-111.9,45
20001008  0000,17.4,-112.5,50
20001008  0600,17.8,-113.3,55
20001008  1200,18.1,-114.0,50
20001008  1800,18.5,-114.9,40
20001009  0000,18.9,-115.7,35
20001009  0600,19.4,-116.6,30
20001009  1200,19.9,-117.4,30
20001009  1800,20.3,-117.8,30
20001010  0000,20.7,-118.3,25
20001010  0600,21.0,-118.7,20
20001025  0600,10.2,-108.4,25
20001025  1200,10.2,-109.7,30
20001025  1800,10.4,-111.3,30
20001026  0000,10.4,-112.7,30
20001026  0600,10.4,-114.0,30
20001026  1200,10.3,-115.4,35
20001026  1800,10.3,-116.7,40
20001027  0000,10.6,-117.7,35
20001027  0600,11.1,-118.7,35
20001027  1200,11.5,-119.5,35
20001027  1800,11.7,-120.7,35
20001028  0000,11.7,-122.0,30
20001028  0600,11.7,-123.4,30
20001028  1200,11.7,-124.9,30
20001028  1800,11.6,-126.7,30
20001029  0000,11.7,-128.5,25
20001103  1800,10.3,-89.8,25
20001104  0000,10.6,-90.7,30
20001104  0600,10.7,-91.8,30
20001104  1200,10.6,-92.8,30
20001104  1800,10.4,-94.2,30
20001105  0000,10.4,-95.2,30
20001105  0600,10.5,-96.1,30
20001105  1200,10.8,-97.0,35
20001105  1800,11.0,-97.9,40
20001106  0000,11.4,-98.5,50
20001106  0600,11.8,-98.8,55
20001106  1200,12.3,-98.8,55
20001106  1800,12.7,-98.7,55
20001107  0000,13.2,-98.7,55
20001107  0600,13.6,-98.2,50
20001107  1200,14.0,-97.7,50
20001107  1800,14.5,-97.3,50
20001108  0000,15.0,-97.0,45
20001108  0600,15.5,-96.5,40
20001108  0700,15.7,-96.3,35
20001108  1200,16.3,-95.9,25
20010525  1800,13.6,-101.1,25
20010526  0000,13.7,-101.2,30
20010526  0600,13.8,-101.2,30
20010526  1200,13.7,-100.9,30
20010526  1800,13.6,-100.5,35
20010527  0000,13.5,-100.2,40
20010527  0600,13.3,-100.0,50
20010527  1200,13.2,-99.7,60
20010527  1800,13.5,-99.5,75
20010528  0000,13.9,-99.8,95
20010528  0600,14.2,-100.2,105
20010528  1200,14.4,-100.5,110
20010528  1800,14.7,-101.2,115
20010529  0000,15.0,-102.1,125
20010529  0600,15.3,-103.2,125
20010529  1200,15.5,-104.2,125
20010529  1800,15.7,-105.2,115
20010530  0000,15.9,-106.1,110
20010530  0600,16.0,-107.0,100
20010530  1200,16.2,-107.8,95
20010530  1800,16.3,-108.6,90
20010531  0000,16.4,-109.4,80
20010531  0600,16.4,-110.2,70
20010531  1200,16.4,-110.8,65
20010531  1800,16.3,-111.3,65
20010601  0000,16.2,-111.8,55
20010601  0600,16.2,-112.0,45
20010601  1200,16.3,-112.3,35
20010601  1800,16.4,-112.5,30
20010620  0000,11.9,-126.5,30
20010620  0600,12.3,-127.8,30
20010620  1200,12.7,-129.1,30
20010620  1800,13.2,-130.4,35
20010621  0000,13.7,-131.6,40
20010621  0600,14.2,-132.8,45
20010621  1200,14.7,-134.1,50
20010621  1800,15.1,-135.3,45
20010622  0000,15.6,-136.5,45
20010622  0600,16.1,-137.8,40
20010622  1200,16.5,-139.0,35
20010622  1800,16.8,-140.1,30
20010623  0000,17.3,-141.2,30
20010623  0600,17.7,-142.6,30
20010623  1200,18.0,-143.7,25
20010623  1800,18.2,-145.0,25
20010624  0000,18.8,-146.3,25
20010624  0600,19.3,-147.6,25
20010624  1200,19.8,-148.9,25
20010624  1800,20.3,-150.3,25
20010625  0000,20.7,-151.8,25
20010625  0600,21.1,-153.2,25
20010625  1200,21.6,-155.0,25
20010625  1800,22.2,-156.9,25
20010626  0000,22.6,-158.9,25
20010626  0600,23.1,-161.0,25
20010713  0600,15.0,-108.4,25
20010713  1200,15.8,-110.0,35
20010713  1800,16.3,-111.4,40
20010714  0000,16.8,-112.4,40
20010714  0600,17.2,-113.3,35
20010714  1200,17.7,-114.2,35
20010714  1800,18.2,-115.1,30
20010715  0000,18.8,-115.9,25
20010715  0600,19.2,-116.6,25
20010720  1800,13.9,-117.4,30
20010721  0000,14.3,-118.1,30
20010721  0600,14.9,-118.8,30
20010721  1200,15.5,-119.6,30
20010721  1800,16.2,-120.4,35
20010722  0000,17.0,-121.5,35
20010722  0600,17.7,-122.3,35
20010722  1200,18.5,-123.3,35
20010722  1800,19.2,-124.5,35
20010723  0000,19.6,-125.6,35
20010723  0600,20.0,-126.5,35
20010723  1200,20.4,-127.4,30
20010723  1800,20.8,-128.0,30
20010724  0000,21.1,-128.6,25
20010721  0000,11.3,-93.8,30
20010721  0600,11.9,-94.9,30
20010721  1200,12.4,-96.0,35
20010721  1800,13.0,-97.0,40
20010722  0000,13.6,-98.2,50
20010722  0600,14.2,-99.4,55
20010722  1200,14.8,-100.7,55
20010722  1800,15.5,-102.1,55
20010723  0000,16.1,-103.4,55
20010723  0600,16.7,-104.5,55
20010723  1200,17.2,-105.6,55
20010723  1800,17.5,-106.4,55
20010724  0000,17.7,-107.3,60
20010724  0600,18.0,-108.1,60
20010724  1200,18.2,-109.0,65
20010724  1800,18.4,-109.8,60
20010725  0000,18.6,-110.5,60
20010725  0600,18.8,-111.1,55
20010725  1200,19.0,-111.6,55
20010725  1800,19.1,-112.2,55
20010726  0000,19.3,-112.8,55
20010726  0600,19.5,-113.4,55
20010726  1200,19.7,-114.0,55
20010726  1800,19.9,-114.7,55
20010727  0000,20.1,-115.5,55
20010727  0600,20.4,-116.3,50
20010727  1200,20.7,-117.1,45
20010727  1800,21.1,-117.9,40
20010728  0000,21.5,-118.9,35
20010728  0600,22.0,-119.9,30
20010728  1200,22.4,-121.1,25
20010822  1200,17.1,-135.4,25
20010822  1800,18.1,-135.9,30
20010823  0000,19.1,-136.6,30
20010823  0600,19.6,-137.4,30
20010823  1200,20.3,-138.0,30
20010823  1800,20.7,-138.2,30
20010824  0000,21.1,-137.8,25
20010826  0600,19.1,-108.5,30
20010826  1200,19.7,-109.7,30
20010826  1800,20.0,-110.6,35
20010827  0000,20.1,-111.6,40
20010827  0600,20.2,-112.5,45
20010827  1200,20.1,-113.3,55
20010827  1800,19.9,-113.8,65
20010828  0000,19.5,-114.1,65
20010828  0600,19.2,-114.3,65
20010828  1200,19.1,-114.3,70
20010828  1800,19.4,-114.7,70
20010829  0000,19.8,-115.1,75
20010829  0600,20.1,-115.4,80
20010829  1200,20.6,-116.2,85
20010829  1800,20.9,-116.6,90
20010830  0000,21.5,-117.1,85
20010830  0600,21.9,-117.7,80
20010830  1200,22.4,-118.0,70
20010830  1800,22.9,-118.1,65
20010831  0000,23.4,-118.4,65
20010831  0600,23.6,-118.6,60
20010831  1200,23.9,-118.9,55
20010831  1800,24.3,-119.2,50
20010901  0000,24.8,-119.3,40
20010901  0600,25.2,-119.1,35
20010901  1200,25.6,-118.9,30
20010901  1800,26.0,-118.6,30
20010902  0000,26.6,-118.4,25
20010904  0600,15.4,-122.6,30
20010904  1200,15.4,-123.4,35
20010904  1800,15.4,-124.2,40
20010905  0000,15.4,-124.5,50
20010905  0600,15.4,-124.7,55
20010905  1200,15.3,-125.0,55
20010905  1800,15.2,-125.5,60
20010906  0000,15.1,-126.0,65
20010906  0600,15.1,-126.5,70
20010906  1200,15.0,-127.3,75
20010906  1800,14.9,-128.0,85
20010907  0000,15.1,-128.5,85
20010907  0600,15.4,-128.7,85
20010907  1200,15.9,-129.1,80
20010907  1800,16.5,-129.5,75
20010908  0000,17.4,-129.5,65
20010908  0600,18.8,-129.8,60
20010908  1200,20.6,-130.3,50
20010908  1800,22.1,-132.1,40
20010909  0000,22.4,-134.5,30
20010909  0600,21.5,-136.2,30
20010909  1200,20.7,-137.2,30
20010909  1800,20.7,-137.5,25
20010904  1200,16.9,-108.8,25
20010904  1800,17.5,-110.1,25
20010905  0000,17.8,-111.5,30
20010905  0600,17.9,-112.9,35
20010905  1200,17.8,-114.3,40
20010905  1800,17.7,-115.7,40
20010906  0000,17.7,-117.1,45
20010906  0600,18.2,-118.5,50
20010906  1200,18.8,-119.9,50
20010906  1800,19.6,-121.5,50
20010907  0000,20.5,-122.9,55
20010907  0600,21.3,-124.5,50
20010907  1200,22.1,-126.0,45
20010907  1800,22.6,-127.7,45
20010908  0000,22.9,-129.8,40
20010908  0600,22.6,-132.2,35
20010908  1200,21.6,-134.3,30
20010910  0000,12.7,-146.7,25
20010910  0600,12.9,-147.8,25
20010910  1200,13.2,-149.0,30
20010910  1800,13.7,-150.3,25
20010911  0000,13.7,-151.7,25
20010911  0600,13.6,-153.2,25
20010911  1200,12.6,-154.8,25
20010910  1200,14.8,-98.9,25
20010910  1800,14.9,-100.1,25
20010911  0000,15.2,-101.4,30
20010911  0600,15.7,-102.7,35
20010911  1200,16.7,-104.3,35
20010911  1800,17.3,-105.5,35
20010912  0000,17.9,-106.7,35
20010912  0600,18.5,-108.0,35
20010912  1200,19.4,-108.8,40
20010912  1800,20.3,-109.6,45
20010913  0000,21.0,-110.3,45
20010913  0600,21.8,-111.2,45
20010913  1200,23.0,-112.5,45
20010913  1800,23.9,-113.8,40
20010914  0000,24.6,-114.6,35
20010914  0600,25.0,-115.2,30
20010914  1200,25.2,-116.2,25
20010914  1800,25.1,-117.0,25
20010915  0000,25.1,-117.5,20
20010921  0600,12.6,-91.1,30
20010921  1200,13.0,-92.8,35
20010921  1800,13.5,-94.3,35
20010922  0000,13.6,-95.8,40
20010922  0600,13.6,-97.3,45
20010922  1200,13.5,-98.5,45
20010922  1800,13.5,-99.7,45
20010923  0000,14.2,-100.4,50
20010923  0600,14.6,-101.3,55
20010923  1200,14.8,-102.2,65
20010923  1800,14.9,-102.8,85
20010924  0000,14.8,-103.3,110
20010924  0600,15.0,-103.5,115
20010924  1200,15.1,-103.8,100
20010924  1800,15.2,-104.1,95
20010925  0000,15.4,-104.7,115
20010925  0600,15.9,-105.3,125
20010925  1200,16.2,-106.2,125
20010925  1800,16.4,-107.2,125
20010926  0000,16.8,-107.9,125
20010926  0600,17.5,-108.6,115
20010926  1200,18.2,-109.1,105
20010926  1800,18.8,-109.8,100
20010927  0000,19.4,-110.3,95
20010927  0600,20.1,-110.5,90
20010927  1200,20.7,-110.8,85
20010927  1800,21.4,-110.7,80
20010928  0000,22.3,-110.7,80
20010928  0600,22.8,-111.0,75
20010928  1200,23.0,-111.1,70
20010928  1800,23.2,-111.1,60
20010929  0000,23.4,-111.2,60
20010929  0600,23.6,-111.3,65
20010929  1200,23.8,-111.5,65
20010929  1800,24.0,-111.7,45
20010930  0000,25.0,-112.0,35
20010930  0600,26.1,-111.8,30
20010930  1200,27.1,-111.8,30
20010930  1800,28.2,-112.0,30
20011001  0000,28.7,-112.2,25
20011001  0600,29.2,-112.5,25
20011001  1200,29.7,-112.7,25
20011001  1800,30.2,-113.1,30
20011002  0000,30.4,-113.3,30
20011002  0600,30.6,-113.6,30
20011002  1200,30.5,-113.8,30
20011002  1800,30.4,-114.4,30
20011003  0000,30.2,-114.6,25
20010921  1800,15.6,-116.1,30
20010922  0000,15.9,-117.2,30
20010922  0600,16.3,-118.3,30
20010922  1200,17.0,-119.2,35
20010922  1800,17.7,-120.2,40
20010923  0000,18.0,-121.2,45
20010923  0600,18.1,-122.2,55
20010923  1200,18.2,-123.3,65
20010923  1800,18.3,-124.4,60
20010924  0000,18.6,-125.1,55
20010924  0600,19.0,-125.6,55
20010924  1200,19.1,-126.2,50
20010924  1800,19.2,-126.7,50
20010925  0000,19.2,-127.2,40
20010925  0600,19.2,-127.9,35
20010925  1200,19.2,-128.6,30
20010925  1800,19.2,-129.3,25
20010922  1200,9.7,-143.5,25
20010922  1800,9.8,-144.5,25
20010923  0000,9.8,-145.8,30
20010923  0600,9.9,-147.2,35
20010923  1200,10.0,-148.4,30
20010923  1800,10.0,-149.7,30
20010924  0000,10.2,-151.0,30
20010924  0600,10.5,-152.6,30
20010924  1200,10.5,-155.6,30
20010924  1800,10.5,-157.4,30
20010925  0000,10.9,-159.1,25
20010925  0600,11.1,-161.2,25
20011002  0000,11.9,-102.0,30
20011002  0600,12.0,-103.1,30
20011002  1200,12.6,-104.3,35
20011002  1800,13.2,-105.4,40
20011003  0000,14.3,-106.0,40
20011003  0600,15.0,-106.3,45
20011003  1200,15.7,-106.5,50
20011003  1800,16.2,-106.7,45
20011004  0000,16.8,-106.7,40
20011004  0600,17.6,-107.0,35
20011004  1200,18.5,-107.0,30
20011004  1800,19.6,-106.7,25
20011003  0000,13.7,-120.3,25
20011003  0600,13.8,-121.2,30
20011003  1200,14.0,-121.8,30
20011003  1800,14.3,-122.4,30
20011004  0000,14.7,-123.0,25
20011010  1200,14.1,-99.2,30
20011010  1800,14.0,-100.6,30
20011011  0000,14.4,-102.0,30
20011011  0600,14.7,-103.3,35
20011011  1200,15.2,-104.7,40
20011011  1800,15.7,-105.9,45
20011012  0000,15.9,-107.3,45
20011012  0600,15.7,-108.4,40
20011012  1200,15.4,-109.5,30
20011012  1800,14.9,-110.5,30
20011013  0000,14.8,-111.2,30
20011013  0600,14.6,-111.9,30
20011013  1200,14.3,-112.6,30
20011013  1800,14.1,-113.0,30
20011014  0000,13.9,-113.3,30
20011014  0600,13.9,-113.6,30
20011014  1200,14.0,-113.8,30
20011014  1800,14.3,-113.9,30
20011015  0000,14.7,-114.1,30
20011015  0600,15.3,-114.4,35
20011015  1200,15.9,-114.8,35
20011015  1800,16.5,-115.3,35
20011016  0000,17.1,-115.9,40
20011016  0600,17.5,-116.9,45
20011016  1200,18.0,-118.1,50
20011016  1800,18.6,-119.3,45
20011017  0000,19.2,-120.2,45
20011017  0600,19.8,-120.8,40
20011017  1200,20.5,-121.3,35
20011017  1800,21.1,-121.6,30
20011018  0000,21.8,-121.8,25
20011020  1200,11.0,-125.0,30
20011020  1800,11.6,-126.4,35
20011021  0000,12.1,-127.5,40
20011021  0600,12.6,-128.5,45
20011021  1200,13.3,-129.6,55
20011021  1800,13.9,-130.6,65
20011022  0000,14.5,-131.4,75
20011022  0600,15.1,-132.2,70
20011022  1200,15.5,-133.3,70
20011022  1800,15.9,-134.2,65
20011023  0000,16.1,-135.2,60
20011023  0600,16.2,-136.4,55
20011023  1200,16.3,-138.1,40
20011023  1800,16.3,-139.6,35
20011024  0000,16.4,-141.2,30
20011024  0600,16.5,-142.4,30
20011024  1200,16.7,-143.5,30
20011024  1800,16.9,-144.4,30
20011025  0000,16.9,-145.5,30
20011025  0600,16.9,-146.5,25
20011031  0000,12.1,-122.8,30
20011031  0600,12.5,-123.9,35
20011031  1200,13.0,-124.8,35
20011031  1800,13.4,-125.8,40
