Time,Latitude,Longitude,Intensity
20000522  1200,13.3,-99.2,25
20000522  1800,13.9,-100.2,30
20000523  0000,14.3,-101.1,30
20000523  0600,14.5,-101.8,35
20000523  1200,14.5,-102.5,40
20000523  1800,14.5,-103.1,45
20000524  0000,14.6,-103.7,50
20000524  0600,14.6,-104.3,60
20000524  1200,14.7,-105.1,70
20000524  1800,14.8,-105.9,90
20000525  0000,14.9,-106.6,90
20000525  0600,15.0,-107.3,90
20000525  1200,15.1,-107.7,85
20000525  1800,15.0,-107.7,85
20000526  0000,14.8,-107.7,80
20000526  0600,14.8,-107.6,75
20000526  1200,14.8,-107.5,70
20000526  1800,15.0,-107.8,65
20000527  0000,14.8,-107.8,60
20000527  0600,15.1,-107.5,55
20000527  1200,15.4,-107.4,45
20000527  1800,15.6,-107.5,30
20000528  0000,16.1,-107.5,25
20000613  0600,13.1,-105.9,30
20000613  1200,13.9,-106.6,35
20000613  1800,14.4,-107.4,40
20000614  0000,14.9,-108.3,45
20000614  0600,15.5,-109.1,45
20000614  1200,16.3,-109.4,45
20000614  1800,17.1,-109.7,45
20000615  0000,17.8,-110.1,40
20000615  0600,18.3,-110.4,40
20000615  1200,18.9,-110.7,40
20000615  1800,19.4,-110.9,40
20000616  0000,19.7,-111.1,35
20000616  0600,19.9,-111.3,35
20000616  1200,19.9,-111.2,30
20000616  1800,19.8,-111.0,30
20000617  0000,19.8,-110.8,30
20000617  0600,19.8,-110.6,25
20000617  1200,20.2,-110.5,25
20000618  1800,12.5,-94.0,30
20000619  0000,13.0,-95.0,35
20000619  0600,13.5,-96.1,45
20000619  1200,13.8,-97.2,50
20000619  1800,14.1,-98.3,55
20000620  0000,14.3,-99.3,60
20000620  0600,14.5,-100.2,65
20000620  1200,14.7,-101.2,75
20000620  1800,14.9,-102.1,85
20000621  0000,15.1,-103.1,110
20000621  0600,15.1,-103.8,135
20000621  1200,15.3,-104.5,135
20000621  1800,15.6,-105.3,130
20000622  0000,15.9,-106.0,115
20000622  0600,16.3,-106.6,100
20000622  1200,16.8,-107.2,100
20000622  1800,17.3,-107.9,100
20000623  0000,17.9,-108.7,100
20000623  0600,18.6,-109.6,95
20000623  1200,19.4,-110.5,85
20000623  1800,20.3,-111.5,75
20000624  0000,21.2,-112.7,65
20000624  0600,22.0,-113.8,55
20000624  1200,22.6,-114.8,45
20000624  1800,23.2,-115.8,35
20000625  0000,23.6,-116.6,30
20000625  0600,24.0,-117.3,25
20000706  1200,12.8,-120.0,25
20000706  1800,12.9,-120.9,25
20000707  0000,13.0,-121.9,25
20000707  0600,13.1,-122.9,25
20000707  1200,13.2,-124.2,20
20000720  0000,10.8,-144.6,30
20000720  0600,10.7,-146.2,30
20000720  1200,10.6,-147.7,30
20000720  1800,10.3,-149.0,35
20000721  0000,10.2,-150.3,35
20000721  0600,10.2,-151.4,40
20000721  1200,10.2,-152.6,40
20000721  1800,10.1,-153.9,40
20000722  0000,10.2,-155.3,40
20000722  0600,10.3,-156.8,35
20000722  1200,10.4,-158.6,35
20000722  1800,10.7,-160.5,25
20000723  0000,10.9,-162.5,25
20000723  0600,10.9,-164.4,25
20000723  1200,10.8,-166.1,30
20000723  1800,10.6,-167.6,30
20000724  0000,10.1,-169.2,30
20000724  0600,9.5,-170.5,20
20000722  0000,18.6,-112.0,30
20000722  0600,19.1,-113.1,30
20000722  1200,19.6,-114.2,30
20000722  1800,20.1,-115.6,30
20000723  0000,20.5,-117.2,30
20000723  0600,21.2,-119.0,30
20000723  1200,21.9,-121.0,25
20000723  0000,10.1,-102.3,25
20000723  0600,10.3,-104.1,30
20000723  1200,10.6,-105.9,30
20000723  1800,10.9,-107.6,35
20000724  0000,11.3,-109.1,45
20000724  0600,11.8,-110.7,55
20000724  1200,12.3,-112.3,65
20000724  1800,12.9,-114.1,75
20000725  0000,13.4,-116.0,95
20000725  0600,13.8,-117.8,100
20000725  1200,14.0,-119.4,105
20000725  1800,14.3,-121.1,110
20000726  0000,14.5,-122.5,110
20000726  0600,14.9,-123.9,105
20000726  1200,15.3,-125.3,105
20000726  1800,15.5,-127.0,105
20000727  0000,15.6,-128.5,100
20000727  0600,15.7,-130.1,95
20000727  1200,15.9,-131.6,90
20000727  1800,16.0,-133.2,95
20000728  0000,16.4,-134.8,95
20000728  0600,16.8,-136.4,105
20000728  1200,17.2,-138.2,100
20000728  1800,17.5,-139.6,90
20000729  0000,18.0,-141.3,80
20000729  0600,18.4,-142.9,65
20000729  1200,18.7,-144.6,65
20000729  1800,18.9,-146.3,65
20000730  0000,19.3,-147.7,60
20000730  0600,19.8,-148.9,55
20000730  1200,20.1,-150.0,55
