Province or territory	2013	2014	2015	2016	2017
Newfoundland and Labrador	646.9	664.0	639.7	651.4	625.4
Prince Edward Island	621.0	623.2	623.8	591.7	608.9
Nova Scotia	650.3	633.7	643.2	640.2	642.0
New Brunswick	625.5	599.1	598.7	596.7	601.1
Quebec	651.3	668.9	665.7	671.3	661.9
Ontario	617.9	608.8	607.0	609.7	616.7
Manitoba	589.1	590.7	582.6	577.3	582.8
Saskatchewan	598.5	579.4	567.5	574.6	564.4
Alberta	570.9	596.4	589.0	585.9	577.2
British Columbia	558.8	545.1	544.6	538.4	523.8
Yukon	550.0	481.2	618.2	583.9	531.1
Northwest Territories	553.7	627.7	605.9	677.5	697.6
Nunavut	500.5	512.7	543.9	579.2	594.5
